Price,District,City,Town,Type,EnergyCertificate,TotalArea,Parking,HasParking,ConstructionYear,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,LivingArea,NumberOfBathrooms
223000.0,Faro,Portimão,Portimão,Apartment,D,100.0,0.0,False,1981.0,0,True,0,2.9999999999999996,2.0,0.0,89.0,2.0
216000.0,Faro,Vila do Bispo,Sagres,Apartment,C,61.0,0.0,False,1992.0,0,False,0,1.0,1.4000000000000001,0.20000000000000207,61.0,1.0
170000.0,Faro,Portimão,Portimão,Apartment,E,88.0,0.0,False,1987.0,0,True,0,2.0,2.0,0.6,88.0,1.0
180000.0,Faro,Portimão,Alvor,Apartment,C,66.0,0.0,False,1989.0,0,False,0,1.0,1.2,0.20000000000000207,59.0,1.0
232000.0,Faro,Lagoa (Algarve),Lagoa e Carvoeiro,Apartment,E,120.0,0.0,False,1981.0,0,False,0,4.0,3.0,0.0,150.0,2.0
220000.0,Faro,Silves,Silves,House,F,366.0,0.0,False,Informação não disponível,0,False,0,2.0,3.4000000000000004,0.7999999999999979,164.0,1.0
371500.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,C,121.0,0.0,False,1972.0,0,True,0,4.0,3.1999999999999997,0.4,109.0,2.0
259000.0,Faro,Tavira,Tavira (Santa Maria e Santiago),Apartment,C,116.0,0.0,False,1999.0,0,True,0,2.9999999999999996,2.0,0.4000000000000021,104.0,2.0
395000.0,Faro,Lagos,São Gonçalo de Lagos,House,C,67.0,0.0,False,1986.0,0,False,0,2.9999999999999996,2.7999999999999994,1.0,108.0,2.0
365000.0,Faro,Portimão,Alvor,Apartment,C,158.0,2.0,True,2006.0,0,True,0,2.9999999999999996,2.0,0.20000000000000207,158.0,2.0
37000.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,B-,68.0,1.0,True,1994.0,0,True,0,1.0,0.7999999999999999,0.4,68.0,0.0
660000.0,Faro,Silves,Armação de Pêra,House,NC,168.0,2.0,True,2023.0,0,False,0,2.9999999999999996,2.7999999999999994,0.20000000000000207,141.0,3.0
660000.0,Faro,Silves,Armação de Pêra,House,NC,168.0,2.0,True,2023.0,0,False,0,2.9999999999999996,2.7999999999999994,0.20000000000000207,141.0,3.0
660000.0,Faro,Silves,Armação de Pêra,House,NC,168.0,2.0,True,2023.0,0,False,0,2.9999999999999996,2.7999999999999994,0.20000000000000207,141.0,3.0
680000.0,Faro,Silves,Armação de Pêra,House,NC,168.0,2.0,True,2023.0,0,False,0,2.9999999999999996,2.7999999999999994,0.20000000000000207,141.0,3.0
680000.0,Faro,Silves,Armação de Pêra,House,NC,168.0,2.0,True,2023.0,0,False,0,2.9999999999999996,2.7999999999999994,0.20000000000000207,141.0,3.0
380000.0,Faro,Lagoa (Algarve),Estômbar e Parchal,House,D,126.0,0.0,False,2005.0,0,False,0,2.9999999999999996,3.0,1.200000000000002,156.0,3.0
400000.0,Faro,Albufeira,Ferreiras,House,A,140.0,2.0,True,2023.0,0,False,0,2.0,2.8000000000000003,0.7999999999999979,140.0,3.0
122500.0,Faro,Olhão,Olhão,Apartment,C,62.0,0.0,False,1979.0,0,True,0,1.0,1.2,0.0,62.0,1.0
